"species","stock_pierre2018","stock_here","cause_R_tau_pierre2018","cause_R_pval_pierre2018","cause_R_pierre2018","cause_prod_here","cause_prod_tau_here","cause_prod_pval_here","cause_R_here","cause_R_tau_here","cause_R_pval_here"
"Clupea harengus","Irish Sea (VIIa)","HERRNIRS",-0.9,0.01,FALSE,"Not relevant",-0.126315772533417,0.455535411834717,"FALSE",-0.578947305679321,0.000405578495701775
"Clupea harengus","Norwegian spring spawning (NSS)","HERRNORSS",-1,2.62e-05,TRUE,NA,NA,NA,NA,NA,NA
"Gadus morhua","Baltic (25-32)","CODBA2532",-1,0.01,TRUE,"FALSE",0.231578931212425,0.162984371185303,"FALSE",0.715789437294006,1.19209289550781e-05
"Gadus morhua","Barents","CODNEAR",-1,0.000263,TRUE,"FALSE",0.8315789103508,3.57627868652344e-07,"FALSE",0.0736842080950737,0.67318868637085
"Gadus morhua","Faroe","CODFAPL",-0.62,0.07,FALSE,"FALSE",0.747368335723877,4.76837158203125e-06,"FALSE",-0.915789425373077,1.99008383106047e-08
"Gadus morhua","Iceland","CODICE",-0.93,0.00198,FALSE,"TRUE",0.536842048168182,0.00104963779449463,"FALSE",-0.147368416190147,0.381032347679138
"Gadus morhua","Irish Sea (VIIa)","CODIS",-1,0.01,TRUE,"TRUE",0.568421006202698,0.000517487525939941,"FALSE",0.936842024326324,0
"Gadus morhua","North Sea","CODIIIaW-IV-VIId",-1,0.01,TRUE,NA,NA,NA,NA,NA,NA
"Melanogrammus aeglefinus","Arctic","HADNEAR",-0.89,0.00123,FALSE,"FALSE",-0.894736766815186,4.17973851085662e-08,"FALSE",0.810526251792908,7.15255737304688e-07
"Melanogrammus aeglefinus","Faroe","HADFAPL",-0.9,0.01,FALSE,"FALSE",-0.368421018123627,0.0251783393323421,"FALSE",0.0105263153091073,0.974117755889893
"Melanogrammus aeglefinus","North Sea","HADNS-IIIa",-0.73,0.06,FALSE,NA,NA,NA,NA,NA,NA
"Pleuronectes platessa","Irish Sea (VIIa)","PLAICIS",-1,0.01,TRUE,NA,NA,NA,"FALSE",0.957894682884216,0
"Pleuronectes platessa","North Sea","PLAICNS",-1,0.00267,TRUE,"FALSE",-0.263157874345779,0.111886657774448,"FALSE",-0.736842036247253,6.49023286314332e-06
"Pollachius virens","Arctic","POLLNEAR",-1,0.03,TRUE,"FALSE",0.86315780878067,1.19209289550781e-07,"FALSE",0.799999952316284,9.5367431640625e-07
"Pollachius virens","Faroe","POLLFAPL",-1,0.00267,TRUE,"FALSE",-0.315789461135864,0.0555929653346539,"FALSE",0.631578922271729,0.000113010406494141
"Solea vulgaris","North Sea","",-0.79,0.01,FALSE,NA,NA,NA,NA,NA,NA
"Thunnus thynnus","Eastern Atlantic","ATBTUNAEATL",-1,0.000263,TRUE,NA,NA,NA,"TRUE",0.915789425373077,0
